21276,21118
21182.931640625,21097.71484375
21114.0234375,21065.955078125
21012.66015625,21040.4375
20913.837890625,21005.66015625
20841.638671875,20953.001953125
20749.29296875,20909.166015625
20660.84765625,20859.572265625
20584.6015625,20809.005859375
20499.998046875,20748.3046875
20407.65625,20716.453125
20322.15234375,20664.48046875
20249.71484375,20600.53515625
20163.548828125,20549.9765625
20097.740234375,20482.3359375
20008.375,20440.125
19923.146484375,20381.939453125
19843.212890625,20314.72265625
19775.251953125,20264.8359375
19696.185546875,20199.154296875
19613.796875,20135.130859375
19531.515625,20081.70703125
19479.3671875,20151.09765625
19464.357421875,20255.02734375
19410.544921875,20319.7109375
19318.9453125,20288.033203125
19246.2890625,20212.46875
19162.99609375,20155.896484375
19086.119140625,20090.28125
19012.654296875,20016.890625
18918.095703125,19972.287109375
18822.53515625,19931.36328125
18755.57421875,19858.841796875
18684.990234375,19782.435546875
18610.27734375,19713.962890625
18534.3515625,19641.52734375
18461.478515625,19570.345703125
18388.611328125,19494.751953125
18308.42578125,19433.63671875
18208.990234375,19402.22265625
18119.712890625,19351.029296875
18035.474609375,19290.478515625
17954.353515625,19224.845703125
17881.244140625,19154.533203125
17962.322265625,19114.76171875
18019.744140625,19090.306640625
17974.119140625,19001.798828125
17895.666015625,18932.900390625
17846.9140625,18841.419921875
17812.6953125,18742.361328125
17756.1953125,18662.248046875
17835.08984375,18600.396484375
17892.67578125,18684.28125
17928.904296875,18782.560546875
17976.94921875,18866.65234375
18034.15625,18954.21484375
18091.046875,19040.12890625
18151.974609375,19120.265625
18201.685546875,19210.4609375
18280.2578125,19276.431640625
18333.005859375,19358.986328125
18436.740234375,19352.982421875
18506.212890625,19426.984375
18577.705078125,19503.916015625
18651.486328125,19578.65234375
18727.39453125,19651.158203125
18802.4765625,19724.552734375
18886.01953125,19787.796875
18952.115234375,19868.880859375
19038.8359375,19927.224609375
19134.14453125,19968.73046875
19208.54296875,20042.740234375
19282.009765625,20117.775390625
19367.94140625,20146.826171875
19400.271484375,20069.943359375
19419.89453125,19967.248046875
19358.935546875,19886.08203125
19283.828125,19812.712890625
19207.509765625,19744.958984375
19163.072265625,19654.1484375
19098.724609375,19581.611328125
19037.486328125,19505.310546875
18970.87890625,19424.451171875
18925.693359375,19356.408203125
18872.21875,19275.064453125
18818.7421875,19190.38671875
18758.95703125,19104.865234375
18710.169921875,19014.232421875
18654.5625,18931.3359375
