-0.000325 0.00065 1.4822e-323 10000 1e+11 | 1 3
0.000438871 0.000496863 9.88131e-324 3698.56 2.28723e-05 | 2 2
0.000384611 0.000599532 9.88131e-324 3988.25 5.42338e-06 | 3 2
0.000584876 0.000361694 9.88131e-324 3675.01 1.87703e-05 | 4 2
0.000524765 0.000304107 9.88131e-324 3678.17 4.63848e-06 | 5 2
0.000695026 0.000226447 9.88131e-324 3618.9 1.69625e-05 | 6 2
0.000239501 0.000218484 9.88131e-324 3728.6 1.869e-05 | 7 2
0.000570523 0.000143304 9.88131e-324 3673.07 2.81339e-05 | 8 2
0.000608639 0.000190774 9.88131e-324 3662.97 1.53381e-05 | 9 2
0.000540031 0.000343573 9.88131e-324 3668.47 8.81197e-06 | 10 2
0.000619861 3.22027e-05 9.88131e-324 3662.08 1.77596e-05 | 11 2
0.000332034 0.000587385 9.88131e-324 4031.02 2.1071e-05 | 12 2
0.000697484 0.000311443 9.88131e-324 3638.64 1.10447e-05 | 13 2
0.000568119 0.000334428 9.88131e-324 3676.31 1.24428e-05 | 14 2
0.00065247 3.0656e-05 9.88131e-324 3626.66 5.55597e-06 | 15 2
0.000367856 0.000177161 9.88131e-324 3687.9 1.84707e-05 | 16 2
0.000625438 0.000320142 9.88131e-324 3675.47 1.59877e-05 | 17 2
0.000644989 0.000384472 9.88131e-324 3624.05 7.29839e-06 | 18 2
0.000410246 0.00023448 9.88131e-324 3698.26 5.35639e-06 | 19 2
0.000450662 0.000307007 9.88131e-324 3689.83 7.52633e-06 | 20 2
0.000490605 0.000138025 9.88131e-324 3674.24 2.02322e-05 | 21 2
0.00049904 0.000172278 9.88131e-324 3672.3 1.09246e-05 | 22 2
0.000561717 0.000175664 9.88131e-324 3671.28 1.32682e-05 | 23 2
0.000985844 8.54492e-05 9.88131e-324 3390.97 1.73535e-05 | 24 2
0.000515838 0.000399243 9.88131e-324 3647.54 1.74736e-05 | 25 2
0.000448077 0.000331142 9.88131e-324 3696.81 2.07085e-05 | 26 2
0.0001126 0.000103216 9.88131e-324 3867.71 4.69615e-06 | 27 2
0.000472245 0.000266262 9.88131e-324 3681.71 1.02068e-05 | 28 2
0.000643552 0.000102416 9.88131e-324 3654.1 1.0494e-05 | 29 2
0.000687798 0.000320887 9.88131e-324 3646.27 4.36922e-06 | 30 2
0.000606486 0.000385262 9.88131e-324 3674.46 1.59689e-05 | 31 2
0.000694844 0.00127386 9.88131e-324 4028.6 2.56857e-05 | 32 2
0.000181473 0.000131175 9.88131e-324 3782.09 1.43334e-05 | 33 2
0.000572502 0.000197152 9.88131e-324 3671.92 1.13239e-05 | 34 2
0.000734709 0.00033363 9.88131e-324 3496.08 2.19013e-05 | 35 2
0.000546137 1.90032e-05 9.88131e-324 3657.89 3.44581e-06 | 36 2
0.000793875 0.000407616 9.88131e-324 3449.56 1.42372e-05 | 37 2
0.000522924 0.00048277 9.88131e-324 3692.39 1.38087e-05 | 38 2
